nom du vin;vintage;appelation;couleur;ID_wine;ID_Item;prix;occasion de degust;food_pairing;food_pairing_french;gws
Nenin;2011;Pomerol;Red;1915;1915-2011;45;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,26
Poujeaux;1995;Moulis en Medoc;Red;1993;1993-1995;45,08;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,47
Chasse Spleen;2002;Moulis en Medoc;Red;1321;1321-2002;45,25;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,12
Lynch Moussas;1999;Pauillac;Red;1424;1424-1999;45,25;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;81,74
Guiraud;2005;Sauternes;Sweet;1589;1589-2005;45,47;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;92,85
Guiraud;2006;Sauternes;Sweet;1589;1589-2006;45,5;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;91,59
Langoa Barton;2010;Saint Julien;Red;2014;2014-2010;45,65;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,57
Potensac;1989;Medoc;Red;1991;1991-1989;45,94;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87
les Carmes Haut Brion;2010;Pessac Leognan;Red;1816;1816-2010;45,94;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,45
Guiraud;1996;Sauternes;Sweet;1589;1589-1996;46,08;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;89,18
Domaine de Chevalier;1995;Pessac Leognan;Red;1471;1471-1995;46,13;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;85,02
Branon;2008;Pessac Leognan;Red;1256;1256-2008;46,13;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,54
Dame de Montrose;2010;Saint Estephe;Red;1415;1415-2010;46,15;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,57
Beau Soleil;2000;Pomerol;Red;1204;1204-2000;46,6;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,67
Saint Pierre;2015;Saint Julien;Red;1858;1858-2015;46,61;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,46
Branaire Ducru;2004;Saint Julien;Red;1788;1788-2004;46,63;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,02
Lynch Moussas;1998;Pauillac;Red;1424;1424-1998;46,83;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;78,47
Lynch Moussas;2002;Pauillac;Red;1424;1424-2002;46,83;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,84
Saint Pierre;2007;Saint Julien;Red;1858;1858-2007;47;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,33
Domaine de Chevalier;2007;Pessac Leognan;Red;1471;1471-2007;47,19;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,6
Certan Marzelle;2010;Pomerol;Red;1305;1305-2010;47,21;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,54
Lynch Bages, Blanc;2011;Bordeaux;White;1840;1840-2011;47,66;Aperitif, diner, dejeuner, cadeau;Pork, Vegetarian, Poultry, Apertizers and snacks,  Lean fish;Porc, Vegetarien, Poulet, Amuse gueule et aperitifs,  Poisson maigre;90,37
La Serre;2010;Saint Emilion;Red;1732;1732-2010;47,77;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,68
Chapelle de La Mission Haut Brion;2013;Pessac Leognan;Red;1312;1312-2013;48;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,13
Guiraud;2003;Sauternes;Sweet;1589;1589-2003;48,12;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;93,39
Beau Sejour Becot;2015;Saint Emilion;Red;1202;1202-2015;48,36;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,84
Potensac;1996;Medoc;Red;1991;1991-1996;48,42;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,59
Gazin;1993;Pomerol;Red;1554;1554-1993;48,9;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,25
Cantemerle;2001;Haut Medoc;Red;1252;1252-2001;49;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,68
Grand Mayne;1997;Saint Emilion;Red;1574;1574-1997;49,25;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,5
Clinet;2013;Pomerol;Red;1348;1348-2013;49,43;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,98
Meyney;1989;Saint Estephe;Red;1874;1874-1989;49,5;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,92
Haut Marbuzet;1998;Saint Estephe;Red;1614;1614-1998;49,77;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,86
Chapelle de La Mission Haut Brion;2007;Pessac Leognan;Red;1312;1312-2007;50;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,8
Guiraud;2001;Sauternes;Sweet;1589;1589-2001;50,02;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;93,78
Lynch Moussas;2003;Pauillac;Red;1424;1424-2003;50,08;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,88
Saint Pierre;2012;Saint Julien;Red;1858;1858-2012;50,13;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,43
Malartic Lagraviere;2009;Pessac Leognan;Red;1850;1850-2009;50,7;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,86
Bellefont Belcier;2012;Saint Emilion;Red;1218;1218-2012;50,99;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,07
Haut Marbuzet;1996;Saint Estephe;Red;1614;1614-1996;51,1;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,01
Domaine de Chevalier;2015;Pessac Leognan;Red;1471;1471-2015;51,22;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,99
La Lagune;2012;Haut Medoc;Red;1992;1992-2012;51,49;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,74
Clarke;1989;Listrac Medoc;Red;1340;1340-1989;51,68;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,69
Grand Puy Lacoste;1998;Pauillac;Red;1346;1346-1998;51,68;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,67
Le Prieure;2009;Saint Emilion;Red;1806;1806-2009;52;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,47
Le Prieure;2009;Saint Emilion;Red;1806;1806-2009;52;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,47
Raymond Lafon;2010;Sauternes;Sweet;2016;2016-2010;52;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;92,88
Climens;2004;Sauternes;Sweet;1347;1347-2004;52,03;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;89,75
Canon La Gaffeliere;2014;Saint Emilion;Red;1280;1280-2014;52,12;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,92
Branaire Ducru;2006;Saint Julien;Red;1788;1788-2006;52,23;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,31
Malartic Lagraviere;2008;Pessac Leognan;Red;1850;1850-2008;52,31;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,42
Sociando Mallet;2001;Haut Medoc;Red;2085;2085-2001;52,34;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,71
Grand Mayne;1994;Saint Emilion;Red;1574;1574-1994;52,5;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91
Rieussec;2002;Sauternes;Sweet;2030;2030-2002;52,64;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;91,48
Lagrange;2009;Saint Julien;Red;2002;2002-2009;52,68;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,68
Laforge;2000;Saint Emilion;Red;1759;1759-2000;53,28;diner, dejeuner, cadeau;Beef, Veal, Game (deer, venison), Poultry;Boeuf, Veau, Gibier (cerf, chevreuil), Poulet;89,19
Lynch Moussas;1996;Pauillac;Red;1424;1424-1996;53,33;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,07
La Tour Blanche;2005;Sauternes;Sweet;1733;1733-2005;53,47;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;91,47
Chapelle de La Mission Haut Brion;2012;Pessac Leognan;Red;1312;1312-2012;53,58;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,34
Langoa Barton;2009;Saint Julien;Red;2014;2014-2009;53,94;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,22
Guiraud;1988;Sauternes;Sweet;1589;1589-1988;54,07;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;88,78
Cos d'Estournel, Blanc;2012;Bordeaux;White;1392;1392-2012;54,1;Aperitif, diner, dejeuner, cadeau;Pork, Vegetarian, Poultry, Apertizers and snacks,  Lean fish;Porc, Vegetarien, Poulet, Amuse gueule et aperitifs,  Poisson maigre;90,54
de Malle;2001;Sauternes;Sweet;1445;1445-2001;54,16;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;93,6
Gazin;2013;Pomerol;Red;1554;1554-2013;54,2;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,19
Lagrange;2010;Saint Julien;Red;2002;2002-2010;54,77;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,84
Quinault l'Enclos;2000;Saint Emilion;Red;2008;2008-2000;54,82;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,57
Lynch Moussas;1995;Pauillac;Red;1424;1424-1995;54,92;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;85,44
Larrivet Haut Brion;2010;Pessac Leognan;Red;1786;1786-2010;55;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,46
Clerc Milon;1993;Pauillac;Red;1253;1253-1993;55;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,89
Bouscaut;2010;Pessac Leognan;Red;1247;1247-2010;55;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,62
Beauregard;2002;Pomerol;Red;1206;1206-2002;55;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,78
Branaire Ducru;2011;Saint Julien;Red;1788;1788-2011;55;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,54
La Fleur Morange;2002;Saint Emilion;Red;1689;1689-2002;55;diner, dejeuner, cadeau;Beef, Veal, Game (deer, venison), Poultry;Boeuf, Veau, Gibier (cerf, chevreuil), Poulet;80,09
Lynch Moussas;2000;Pauillac;Red;1424;1424-2000;55,02;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,01
Beauregard;2009;Pomerol;Red;1206;1206-2009;55,25;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,61
Larcis Ducasse;2014;Saint Emilion;Red;1779;1779-2014;55,5;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,21
Clinet;2011;Pomerol;Red;1348;1348-2011;55,51;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,42
Clinet;2012;Pomerol;Red;1348;1348-2012;55,55;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,54
Langoa Barton;2011;Saint Julien;Red;2014;2014-2011;55,95;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,23
Climens;2003;Sauternes;Sweet;1347;1347-2003;56;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;97,11
Canon La Gaffeliere;2013;Saint Emilion;Red;1280;1280-2013;56,12;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,33
les Carmes Haut Brion;2012;Pessac Leognan;Red;1816;1816-2012;56,17;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,91
Beau Sejour Becot;2010;Saint Emilion;Red;1202;1202-2010;56,47;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,54
Malartic Lagraviere;2010;Pessac Leognan;Red;1850;1850-2010;56,61;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,49
Clos Saint Martin;2010;Saint Emilion;Red;1384;1384-2010;56,68;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,81
Langoa Barton;1998;Saint Julien;Red;2014;2014-1998;56,81;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,57
Armailhac;2006;Pauillac;Red;1178;1178-2006;56,93;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,15
Lynch Bages, Blanc;2013;Bordeaux;White;1840;1840-2013;57,18;Aperitif, diner, dejeuner, cadeau;Pork, Vegetarian, Poultry, Apertizers and snacks,  Lean fish;Porc, Vegetarien, Poulet, Amuse gueule et aperitifs,  Poisson maigre;90,43
Armailhac;2000;Pauillac;Red;1178;1178-2000;57,19;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,06
Clinet;2014;Pomerol;Red;1348;1348-2014;57,23;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,32
les Carmes Haut Brion;2009;Pessac Leognan;Red;1816;1816-2009;57,4;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,48
Nenin;2012;Pomerol;Red;1915;1915-2012;57,41;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,44
Clarke;1990;Listrac Medoc;Red;1340;1340-1990;57,42;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,69
Armailhac;2002;Pauillac;Red;1178;1178-2002;58;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,19
les Carmes Haut Brion;2011;Pessac Leognan;Red;1816;1816-2011;58,15;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,46
Larcis Ducasse;2012;Saint Emilion;Red;1779;1779-2012;58,2;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,92
Rieussec;2005;Sauternes;Sweet;2030;2030-2005;58,41;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;92,83
Potensac;1990;Medoc;Red;1991;1991-1990;58,63;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,37
Domaine de Chevalier;2008;Pessac Leognan;Red;1471;1471-2008;58,88;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,39
Cantemerle;2000;Haut Medoc;Red;1252;1252-2000;59;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,68
Beauregard;2010;Pomerol;Red;1206;1206-2010;59;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,72
Beau Sejour Becot;2007;Saint Emilion;Red;1202;1202-2007;59;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,21
Grand Puy Lacoste;2001;Pauillac;Red;1346;1346-2001;59,16;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,65
Nairac;2001;Sauternes;Sweet;1914;1914-2001;59,33;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;93,65
Virginie de Valandraud;2005;Saint Emilion;Red;2152;2152-2005;59,33;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,59
Rol Valentin;2005;Saint Emilion;Red;2037;2037-2005;59,43;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,24
La Lagune;2011;Haut Medoc;Red;1992;1992-2011;59,58;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,35
Alter Ego de Palmer;2010;Margaux;Red;1167;1167-2010;59,81;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,86
Chapelle de La Mission Haut Brion;2003;Pessac Leognan;Red;1312;1312-2003;60;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,49
Rayne Vigneau;1986;Sauternes;Sweet;2017;2017-1986;60,62;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;89,78
Armailhac;2004;Pauillac;Red;1178;1178-2004;62;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,96
Berliquet;2000;Saint Emilion;Red;1228;1228-2000;62,02;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,59
Canon La Gaffeliere;2015;Saint Emilion;Red;1280;1280-2015;62,34;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,92
Larcis Ducasse;2015;Saint Emilion;Red;1779;1779-2015;62,48;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,15
Saint Pierre;2006;Saint Julien;Red;1858;1858-2006;63;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,29
Gazin;2011;Pomerol;Red;1554;1554-2011;63,63;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,91
Gazin;2011;Pomerol;Red;1554;1554-2011;63,63;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,91
Gazin;2011;Pomerol;Red;1554;1554-2011;63,63;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,91
Sociando Mallet;2000;Haut Medoc;Red;2085;2085-2000;63,73;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,17
Haut Marbuzet;2000;Saint Estephe;Red;1614;1614-2000;63,84;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;85,62
Beau Sejour Becot;2003;Saint Emilion;Red;1202;1202-2003;64;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,34
Beau Sejour Becot;2011;Saint Emilion;Red;1202;1202-2011;64;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,64
La Lagune;2002;Haut Medoc;Red;1992;1992-2002;64,58;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;85,87
Gazin;2012;Pomerol;Red;1554;1554-2012;64,72;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,02
Gazin;2012;Pomerol;Red;1554;1554-2012;64,72;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,02
les Carmes Haut Brion;2015;Pessac Leognan;Red;1816;1816-2015;64,77;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,95
Chapelle de La Mission Haut Brion;2008;Pessac Leognan;Red;1312;1312-2008;65;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,7
carillon de l'angelus;2013;Saint Emilion;Red;1296;1296-2013;65;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;85,95
Dassault;2004;Saint Emilion;Red;1422;1422-2004;65;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,1
Clos Saint Martin;2011;Saint Emilion;Red;1384;1384-2011;65;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,93
Chapelle de La Mission Haut Brion;2011;Pessac Leognan;Red;1312;1312-2011;65,2;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,36
Lynch Bages;1984;Pauillac;Red;1408;1408-1984;65,29;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;83,33
